"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Age Groups"	"Age Groups Code"	"Year"	"Year Code"	Count
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"55-59 years"	"55-59"	"2018"	"2018"	56
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"55-59 years"	"55-59"	"2019"	"2019"	59
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"55-59 years"	"55-59"	"2020"	"2020"	46
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"55-59 years"	"55-59"	"2021"	"2021"	47
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2001"	"2001"	24
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2002"	"2002"	16
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2003"	"2003"	26
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2004"	"2004"	24
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2005"	"2005"	24
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2006"	"2006"	37
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2007"	"2007"	24
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2008"	"2008"	31
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2009"	"2009"	46
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2010"	"2010"	34
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2011"	"2011"	40
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2012"	"2012"	86
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2013"	"2013"	96
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2014"	"2014"	100
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2015"	"2015"	100
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2016"	"2016"	123
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2017"	"2017"	87
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2018"	"2018"	94
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2019"	"2019"	94
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2020"	"2020"	77
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"60-64 years "	"60-64"	"2021"	"2021"	76
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"1999"	"1999"	16
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2000"	"2000"	23
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2002"	"2002"	22
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2003"	"2003"	24
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2004"	"2004"	21
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2005"	"2005"	25
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2006"	"2006"	23
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2007"	"2007"	23
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2008"	"2008"	36
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2009"	"2009"	29
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2010"	"2010"	44
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2011"	"2011"	30
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2012"	"2012"	41
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2013"	"2013"	64
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2014"	"2014"	58
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2015"	"2015"	82
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2016"	"2016"	95
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2017"	"2017"	121
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2018"	"2018"	100
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2019"	"2019"	123
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2020"	"2020"	115
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"65-69 years"	"65-69"	"2021"	"2021"	128
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"1999"	"1999"	25
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2000"	"2000"	22
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2001"	"2001"	23
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2002"	"2002"	23
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2003"	"2003"	22
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2004"	"2004"	26
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2005"	"2005"	23
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2006"	"2006"	23
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2007"	"2007"	27
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2008"	"2008"	33
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2009"	"2009"	25
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2010"	"2010"	32
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2011"	"2011"	32
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2012"	"2012"	44
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2013"	"2013"	41
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2014"	"2014"	48
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2015"	"2015"	60
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2016"	"2016"	70
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2017"	"2017"	75
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2018"	"2018"	71
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2019"	"2019"	89
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2020"	"2020"	90
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"70-74 years"	"70-74"	"2021"	"2021"	91
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"1999"	"1999"	24
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2000"	"2000"	26
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2001"	"2001"	33
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2002"	"2002"	31
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2003"	"2003"	23
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2005"	"2005"	21
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2006"	"2006"	25
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2007"	"2007"	23
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2008"	"2008"	30
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2009"	"2009"	30
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2010"	"2010"	31
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2011"	"2011"	26
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2012"	"2012"	46
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2013"	"2013"	48
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2014"	"2014"	42
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2015"	"2015"	54
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2016"	"2016"	62
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2017"	"2017"	72
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2018"	"2018"	72
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2019"	"2019"	74
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2020"	"2020"	70
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"75-79 years"	"75-79"	"2021"	"2021"	75
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2001"	"2001"	17
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2002"	"2002"	19
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2003"	"2003"	17
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2004"	"2004"	21
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2006"	"2006"	17
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2007"	"2007"	27
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2008"	"2008"	25
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2009"	"2009"	30
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2010"	"2010"	17
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2011"	"2011"	23
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2012"	"2012"	27
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2013"	"2013"	32
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2014"	"2014"	27
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2015"	"2015"	38
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2016"	"2016"	32
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2017"	"2017"	52
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2018"	"2018"	31
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2019"	"2019"	44
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2020"	"2020"	45
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"80-84 years"	"80-84"	"2021"	"2021"	40
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2004"	"2004"	16
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2007"	"2007"	19
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2009"	"2009"	25
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2010"	"2010"	19
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2011"	"2011"	23
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2012"	"2012"	22
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2013"	"2013"	26
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2014"	"2014"	19
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2015"	"2015"	41
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2016"	"2016"	41
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2017"	"2017"	40
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2018"	"2018"	39
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2019"	"2019"	47
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2020"	"2020"	38
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"Minnesota"	"27"	"85+ years"	"85+"	"2021"	"2021"	43
	"Liver"	"21071"	"Minnesota"	"27"	"< 1 year"	"1"	"1999"	"1999"	0
	"Liver"	"21071"	"Minnesota"	"27"	"< 1 year"	"1"	"2000"	"2000"	0
	"Liver"	"21071"	"Minnesota"	"27"	"< 1 year"	"1"	"2001"	"2001"	0
	"Liver"	"21071"	"Minnesota"	"27"	"< 1 year"	"1"	"2002"	"2002"	0
	"Liver"	"21071"	"Minnesota"	"27"	"< 1 year"	"1"	"2003"	"2003"	0
	"Liver"	"21071"	"Minnesota"	"27"	"< 1 year"	"1"	"2005"	"2005"	0
	"Liver"	"21071"	"Minnesota"	"27"	"< 1 year"	"1"	"2006"	"2006"	0
	"Liver"	"21071"	"Minnesota"	"27"	"< 1 year"	"1"	"2007"	"2007"	0
	"Liver"	"21071"	"Minnesota"	"27"	"< 1 year"	"1"	"2009"	"2009"	0
	"Liver"	"21071"	"Minnesota"	"27"	"< 1 year"	"1"	"2011"	"2011"	0
	"Liver"	"21071"	"Minnesota"	"27"	"< 1 year"	"1"	"2012"	"2012"	0
	"Liver"	"21071"	"Minnesota"	"27"	"< 1 year"	"1"	"2016"	"2016"	0
	"Liver"	"21071"	"Minnesota"	"27"	"< 1 year"	"1"	"2017"	"2017"	0
	"Liver"	"21071"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2003"	"2003"	0
	"Liver"	"21071"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2013"	"2013"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2001"	"2001"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2002"	"2002"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2003"	"2003"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2005"	"2005"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2006"	"2006"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2007"	"2007"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2008"	"2008"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2009"	"2009"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2010"	"2010"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2011"	"2011"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2012"	"2012"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2015"	"2015"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2016"	"2016"	0
	"Liver"	"21071"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2017"	"2017"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"1999"	"1999"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2000"	"2000"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2003"	"2003"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2004"	"2004"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2007"	"2007"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2013"	"2013"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2014"	"2014"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2015"	"2015"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2016"	"2016"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2017"	"2017"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2018"	"2018"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2019"	"2019"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2020"	"2020"	0
	"Liver"	"21071"	"Minnesota"	"27"	"10-14 years"	"10-14"	"2021"	"2021"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"1999"	"1999"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2000"	"2000"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2002"	"2002"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2004"	"2004"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2005"	"2005"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2008"	"2008"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2009"	"2009"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2011"	"2011"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2012"	"2012"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2014"	"2014"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2015"	"2015"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2016"	"2016"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2018"	"2018"	0
	"Liver"	"21071"	"Minnesota"	"27"	"15-19 years"	"15-19"	"2019"	"2019"	0
	"Liver"	"21071"	"Minnesota"	"27"	"20-24 years"	"20-24"	"1999"	"1999"	0
	"Liver"	"21071"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2001"	"2001"	0
	"Liver"	"21071"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2002"	"2002"	0
	"Liver"	"21071"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2003"	"2003"	0
	"Liver"	"21071"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2007"	"2007"	0
	"Liver"	"21071"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2008"	"2008"	0
	"Liver"	"21071"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2010"	"2010"	0
	"Liver"	"21071"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2013"	"2013"	0
	"Liver"	"21071"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2014"	"2014"	0
	"Liver"	"21071"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2015"	"2015"	0
	"Liver"	"21071"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2016"	"2016"	0
	"Liver"	"21071"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2018"	"2018"	0
	"Liver"	"21071"	"Minnesota"	"27"	"20-24 years"	"20-24"	"2021"	"2021"	0
	"Liver"	"21071"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2000"	"2000"	0
	"Liver"	"21071"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2001"	"2001"	0
	"Liver"	"21071"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2002"	"2002"	0
	"Liver"	"21071"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2003"	"2003"	0
	"Liver"	"21071"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2004"	"2004"	0
	"Liver"	"21071"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2008"	"2008"	0
	"Liver"	"21071"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2009"	"2009"	0
	"Liver"	"21071"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2010"	"2010"	0
	"Liver"	"21071"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2012"	"2012"	0
	"Liver"	"21071"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2014"	"2014"	0
	"Liver"	"21071"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2016"	"2016"	0
	"Liver"	"21071"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2020"	"2020"	0
	"Liver"	"21071"	"Minnesota"	"27"	"25-29 years"	"25-29"	"2021"	"2021"	0
	"Liver"	"21071"	"Minnesota"	"27"	"30-34 years"	"30-34"	"1999"	"1999"	0
	"Liver"	"21071"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2001"	"2001"	0
	"Liver"	"21071"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2014"	"2014"	0
	"Liver"	"21071"	"Minnesota"	"27"	"30-34 years"	"30-34"	"2018"	"2018"	0
	"Liver"	"21071"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2003"	"2003"	0
	"Liver"	"21071"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2004"	"2004"	0
	"Liver"	"21071"	"Minnesota"	"27"	"35-39 years"	"35-39"	"2007"	"2007"	0
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2000"	"2000"	16
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2001"	"2001"	17
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2002"	"2002"	16
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2003"	"2003"	22
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2004"	"2004"	20
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2005"	"2005"	16
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2006"	"2006"	28
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2007"	"2007"	34
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2008"	"2008"	31
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2009"	"2009"	30
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2010"	"2010"	26
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2011"	"2011"	20
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2012"	"2012"	35
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2013"	"2013"	16
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2014"	"2014"	31
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2015"	"2015"	37
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2016"	"2016"	28
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2017"	"2017"	21
	"Liver"	"21071"	"Minnesota"	"27"	"50-54 years"	"50-54"	"2018"	"2018"	26
